"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2005,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2006,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2007,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2008,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2009,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2010,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",2.33333,"E",1
"ABW",2011,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2012,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2013,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2014,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"ABW",2015,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",2.33333,"E",1
"ABW",2016,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",2.33333,"E",1
"ABW",2017,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",2.33333,"E",1
"ABW",2018,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",2.33333,"E",1
"ABW",2019,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",2.33333,"E",1
"ABW",2020,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",2.33333,"E",1
"AFG",2004,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2005,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2006,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2007,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2008,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2009,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2010,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",1.85099,"C",1
"AFG",2011,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2012,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2013,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2014,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AFG",2015,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",1.85099,"C",1
"AFG",2016,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",1.85099,"C",1
"AFG",2017,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",1.85099,"C",1
"AFG",2018,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",1.85099,"C",1
"AFG",2019,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",1.85099,"C",1
"AFG",2020,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",1.85099,"C",1
"AGO",2004,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2005,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2006,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2007,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2008,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2009,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2010,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",57.8792,"C",1
"AGO",2011,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2012,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2013,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2014,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AGO",2015,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",55.65308,"C",1
"AGO",2016,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",55.20784,"C",1
"AGO",2017,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",54.76263,"C",1
"AGO",2018,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",54.31741,"C",1
"AGO",2019,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",53.87217,"C",1
"AGO",2020,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",53.42695,"C",1
"AIA",2004,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
"AIA",2005,"15","15.1","15.1.1","AG_LND_FRST","Forest area as a proportion of total land area (%)",NA,NA,NA
