"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2005,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2006,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2007,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2008,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2009,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2010,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"ABW",2011,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2012,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2013,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2014,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ABW",2015,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"ABW",2016,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"ABW",2017,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"ABW",2018,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"ABW",2019,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"ABW",2020,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"AFG",2004,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2005,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2006,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2007,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2008,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2009,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2010,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"AFG",2011,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2012,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2013,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2014,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AFG",2015,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"AFG",2016,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"AFG",2017,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"AFG",2018,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"AFG",2019,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"AFG",2020,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,"NA",NA
"AGO",2004,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2005,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2006,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2007,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2008,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2009,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2010,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",30.3,"C",1
"AGO",2011,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2012,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2013,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2014,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AGO",2015,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",30.3,"C",1
"AGO",2016,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",30.3,"C",1
"AGO",2017,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",30.3,"C",1
"AGO",2018,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",30.3,"C",1
"AGO",2019,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",30.3,"C",1
"AGO",2020,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",30.3,"C",1
"AIA",2004,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2005,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2006,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2007,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2008,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2009,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2010,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",210,"E",1
"AIA",2011,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2012,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2013,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2014,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"AIA",2015,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",210,"E",1
"AIA",2016,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",210,"E",1
"AIA",2017,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",210,"E",1
"AIA",2018,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",210,"E",1
"AIA",2019,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",210,"E",1
"AIA",2020,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",210,"E",1
"ALA",2004,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ALA",2005,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ALA",2006,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ALA",2007,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
"ALA",2008,"15","15.2","15.2.1","AG_LND_FRSTBIOPHA","Above-ground biomass stock in forest (tonnes per hectare)",NA,NA,NA
