"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2005,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2006,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2007,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2008,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2009,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2010,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2011,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2012,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2013,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"ABW",2014,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,0
"ABW",2015,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,"NA",NA
"ABW",2016,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,"NA",NA
"ABW",2017,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,"NA",NA
"ABW",2018,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,"NA",NA
"ABW",2019,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,0
"ABW",2020,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2004,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2005,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2006,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2007,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2008,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2009,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2010,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2011,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2012,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2013,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AFG",2014,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,0
"AFG",2015,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",2623.67,"G",1
"AFG",2016,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",2776.74,"G",1
"AFG",2017,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",3274.22,"G",1
"AFG",2018,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",4414.0233333333335,"G",1
"AFG",2019,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,0
"AFG",2020,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
"AGO",2004,"2","2.1","2.1.2","AG_PRD_FIESSN","Total population in severe food insecurity (thousands of people)",NA,NA,NA
