"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2005,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2006,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2007,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2008,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2009,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2010,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2011,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2012,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2013,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2014,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2015,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2016,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2017,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2018,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2019,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,0
"ABW",2020,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",NA,NA,NA
"AFG",2004,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",351.50901,"C",1
"AFG",2005,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",638.57287,"C",1
"AFG",2006,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",1115.79985,"C",1
"AFG",2007,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",1200.60855,"C",1
"AFG",2008,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",1680.63274,"C",1
"AFG",2009,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",2078.17447,"C",1
"AFG",2010,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",1444.97741,"C",1
"AFG",2011,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",2137.7497,"C",1
"AFG",2012,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",1955.18041,"C",1
"AFG",2013,"17","17.9","17.9.1","DC_FTA_TOTAL","Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars)",1104.42165,"C",1
