"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2005,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2006,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2007,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2008,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2009,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2010,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2011,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2012,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2013,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2014,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2015,"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
