"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,NA
"ABW",2005,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,NA
"ABW",2006,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2007,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2008,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2009,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2010,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2011,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2012,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2013,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2014,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
"ABW",2015,"8","8.a","8.a.1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",NA,NA,0
