"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2005,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2006,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2007,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2008,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2009,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2010,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2011,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2012,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2013,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2014,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2015,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2016,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2017,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2018,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"ABW",2019,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,NA
"ABW",2020,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,NA
"AFG",2004,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2005,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2006,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2007,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2008,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2009,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2010,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2011,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2012,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2013,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2014,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2015,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2016,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2017,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2018,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,0
"AFG",2019,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,NA
"AFG",2020,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",NA,NA,NA
"AGO",2004,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",0.07387,"E",1
"AGO",2005,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",0.05115,"E",1
"AGO",2006,"9","9.4","9.4.1","EN_ATM_CO2GDP","Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars)",0.06157,"E",1
