"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"ABW",2005,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"ABW",2006,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"ABW",2007,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"ABW",2008,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"ABW",2009,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"ABW",2010,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"ABW",2011,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"ABW",2012,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"ABW",2013,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"ABW",2014,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"ABW",2015,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"ABW",2016,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"ABW",2017,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"ABW",2018,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"ABW",2019,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"ABW",2020,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AFG",2004,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AFG",2005,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",0,"C",1
"AFG",2006,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AFG",2007,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AFG",2008,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AFG",2009,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AFG",2010,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",757,"E",1
"AFG",2011,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AFG",2012,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",811,"E",1
"AFG",2013,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AFG",2014,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",943,"E",1
"AFG",2015,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AFG",2016,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",953,"C",1
"AFG",2017,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",953,"E",1
"AFG",2018,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",953,"E",1
"AFG",2019,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",953,"E",1
"AFG",2020,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",953,"E",1
"AGO",2004,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AGO",2005,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AGO",2006,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AGO",2007,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AGO",2008,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AGO",2009,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AGO",2010,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AGO",2011,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AGO",2012,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AGO",2013,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AGO",2014,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AGO",2015,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AGO",2016,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AGO",2017,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AGO",2018,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AGO",2019,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AGO",2020,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AIA",2004,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AIA",2005,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AIA",2006,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AIA",2007,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AIA",2008,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AIA",2009,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AIA",2010,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AIA",2011,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AIA",2012,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AIA",2013,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AIA",2014,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AIA",2015,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"AIA",2016,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AIA",2017,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AIA",2018,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AIA",2019,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"AIA",2020,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
"ALA",2004,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,NA,NA
"ALA",2005,"2","2.5","2.5.1","ER_GRF_PLNTSTOR","Plant genetic resources accessions stored ex situ (number)",NA,"NA",NA
