"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2005,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2006,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2007,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2008,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2009,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2010,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2011,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2012,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2013,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2014,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2015,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2016,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2017,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
"ABW",2018,"14","14.5","14.5.1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)",23.92445,"C",1
