"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2005,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2006,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2007,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2008,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2009,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2010,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2011,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2012,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2013,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2014,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2015,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2016,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2017,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2018,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2019,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ABW",2020,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"AFG",2004,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2005,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2006,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2007,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2008,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2009,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2010,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2011,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2012,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2013,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2014,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2015,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2016,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2017,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2018,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2019,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AFG",2020,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AGO",2004,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2005,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2006,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2007,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2008,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2009,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2010,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2011,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2012,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2013,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2014,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2015,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2016,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2017,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2018,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2019,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AGO",2020,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",42.83415,"C",1
"AIA",2004,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2005,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2006,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2007,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2008,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2009,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2010,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2011,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2012,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2013,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2014,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2015,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2016,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2017,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2018,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2019,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"AIA",2020,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",0,"C",1
"ALA",2004,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2005,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2006,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2007,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2008,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2009,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2010,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2011,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2012,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2013,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2014,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2015,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2016,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2017,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2018,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2019,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALA",2020,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"ALB",2004,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",48.93247,"C",1
"ALB",2005,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",70.42236,"C",1
"ALB",2006,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",70.42236,"C",1
"ALB",2007,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",75.17271,"C",1
"ALB",2008,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",75.17271,"C",1
"ALB",2009,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",75.17271,"C",1
"ALB",2010,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2011,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2012,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2013,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2014,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2015,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2016,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2017,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2018,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2019,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"ALB",2020,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",96.61282,"C",1
"AND",2004,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"AND",2005,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"AND",2006,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"AND",2007,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"AND",2008,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"AND",2009,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"AND",2010,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"AND",2011,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
"AND",2012,"15","15.1","15.1.2","ER_PTD_FRHWTR","Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)",NA,NA,0
