"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95746,"E",1
"ABW",2005,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.9574,"E",1
"ABW",2006,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95768,"E",1
"ABW",2007,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95788,"E",1
"ABW",2008,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.9581,"E",1
"ABW",2009,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95833,"E",1
"ABW",2010,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95844,"E",1
"ABW",2011,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95849,"E",1
"ABW",2012,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95854,"E",1
"ABW",2013,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95856,"E",1
"ABW",2014,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95858,"E",1
"ABW",2015,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95859,"E",1
"ABW",2016,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95862,"E",1
"ABW",2017,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95864,"E",1
"ABW",2018,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95868,"E",1
"ABW",2019,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.9587,"E",1
"ABW",2020,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.95873,"E",1
"AFG",2004,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83696,"E",1
"AFG",2005,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83685,"E",1
"AFG",2006,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.8368,"E",1
"AFG",2007,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83684,"E",1
"AFG",2008,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83674,"E",1
"AFG",2009,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83675,"E",1
"AFG",2010,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83671,"E",1
"AFG",2011,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83662,"E",1
"AFG",2012,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83657,"E",1
"AFG",2013,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83651,"E",1
"AFG",2014,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83644,"E",1
"AFG",2015,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83639,"E",1
"AFG",2016,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83632,"E",1
"AFG",2017,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83623,"E",1
"AFG",2018,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83618,"E",1
"AFG",2019,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83613,"E",1
"AFG",2020,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83605,"E",1
"AGO",2004,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92869,"E",1
"AGO",2005,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92862,"E",1
"AGO",2006,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.9287,"E",1
"AGO",2007,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92873000000000006,"E",1
"AGO",2008,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92878,"E",1
"AGO",2009,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92872,"E",1
"AGO",2010,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92864,"E",1
"AGO",2011,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92866,"E",1
"AGO",2012,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92861,"E",1
"AGO",2013,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92858,"E",1
"AGO",2014,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92863,"E",1
"AGO",2015,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92854,"E",1
"AGO",2016,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92856,"E",1
"AGO",2017,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92853,"E",1
"AGO",2018,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92851,"E",1
"AGO",2019,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92858,"E",1
"AGO",2020,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92852,"E",1
"AIA",2004,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.94139,"E",1
"AIA",2005,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.94016,"E",1
"AIA",2006,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.93909,"E",1
"AIA",2007,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.93778,"E",1
"AIA",2008,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.93692,"E",1
"AIA",2009,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.93561,"E",1
"AIA",2010,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.93438,"E",1
"AIA",2011,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.93357,"E",1
"AIA",2012,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.93219,"E",1
"AIA",2013,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.93032,"E",1
"AIA",2014,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92949,"E",1
"AIA",2015,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92813,"E",1
"AIA",2016,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92651,"E",1
"AIA",2017,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92537,"E",1
"AIA",2018,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92435,"E",1
"AIA",2019,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92255,"E",1
"AIA",2020,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.92093,"E",1
"ALA",2004,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.99292,"E",1
"ALA",2005,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.9925,"E",1
"ALA",2006,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.99208,"E",1
"ALA",2007,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.99165,"E",1
"ALA",2008,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.99123000000000006,"E",1
"ALA",2009,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.99081,"E",1
"ALA",2010,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.99039,"E",1
"ALA",2011,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98997,"E",1
"ALA",2012,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98955,"E",1
"ALA",2013,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98896,"E",1
"ALA",2014,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98836,"E",1
"ALA",2015,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98777,"E",1
"ALA",2016,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98717,"E",1
"ALA",2017,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98717,"E",1
"ALA",2018,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98717,"E",1
"ALA",2019,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98717,"E",1
"ALA",2020,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.98717,"E",1
"ALB",2004,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.87837,"E",1
"ALB",2005,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.87644,"E",1
"ALB",2006,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.87437,"E",1
"ALB",2007,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.8722,"E",1
"ALB",2008,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.86934,"E",1
"ALB",2009,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.86613,"E",1
"ALB",2010,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.86343,"E",1
"ALB",2011,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.86043,"E",1
"ALB",2012,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.85846,"E",1
"ALB",2013,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.85619,"E",1
"ALB",2014,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.85337,"E",1
"ALB",2015,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.85116,"E",1
"ALB",2016,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.84864,"E",1
"ALB",2017,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.84674,"E",1
"ALB",2018,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.84299,"E",1
"ALB",2019,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.84087,"E",1
"ALB",2020,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.83833,"E",1
"AND",2004,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.9121,"E",1
"AND",2005,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91199,"E",1
"AND",2006,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91188,"E",1
"AND",2007,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91182,"E",1
"AND",2008,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91178,"E",1
"AND",2009,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91177,"E",1
"AND",2010,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91174,"E",1
"AND",2011,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91172,"E",1
"AND",2012,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91167,"E",1
"AND",2013,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91163,"E",1
"AND",2014,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91159,"E",1
"AND",2015,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.9115,"E",1
"AND",2016,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91133,"E",1
"AND",2017,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91117,"E",1
"AND",2018,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.9109,"E",1
"AND",2019,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91067,"E",1
"AND",2020,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.91043,"E",1
"ARE",2004,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.89554,"E",1
"ARE",2005,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.8936,"E",1
"ARE",2006,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.89044,"E",1
"ARE",2007,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.88737,"E",1
"ARE",2008,"15","15.5","15.5.1","ER_RSK_LST","Red List Index",0.88449,"E",1
