"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2005,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2006,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2007,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2008,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2009,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2010,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2011,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2012,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2013,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2014,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2015,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2016,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2017,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2018,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2019,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ABW",2020,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AFG",2004,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AFG",2005,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AFG",2006,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AFG",2007,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AFG",2008,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AFG",2009,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AFG",2010,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",-25.6109203955048,NA,NA
"AFG",2011,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",-1.13203051675977,NA,NA
"AFG",2012,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",-0.419440039326816,NA,NA
"AFG",2013,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.605776849635513,NA,NA
"AFG",2014,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.889336023575637,NA,NA
"AFG",2015,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.20267263318982,NA,NA
"AFG",2016,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.6877342052848,NA,NA
"AFG",2017,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.589232772119482,NA,NA
"AFG",2018,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.78039883038221,NA,NA
"AFG",2019,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AFG",2020,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AGO",2004,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AGO",2005,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AGO",2006,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AGO",2007,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AGO",2008,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AGO",2009,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AGO",2010,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",3.58308039135023,NA,NA
"AGO",2011,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",3.28512678305163,NA,NA
"AGO",2012,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",2.16575574781684,NA,NA
"AGO",2013,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.97317367923147,NA,NA
"AGO",2014,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.885580819790903,NA,NA
"AGO",2015,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",2.10796514564013,NA,NA
"AGO",2016,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",2.44811838279149,NA,NA
"AGO",2017,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",2.09130968392854,NA,NA
"AGO",2018,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",4.28150995274514,NA,NA
"AGO",2019,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AGO",2020,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2004,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2005,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2006,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2007,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2008,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2009,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2010,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2011,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2012,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2013,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2014,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AIA",2015,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.580853433969127,NA,NA
"AIA",2016,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.08242791162084,NA,NA
"AIA",2017,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.136813,NA,NA
"AIA",2018,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.356093,NA,NA
"AIA",2019,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.879242,NA,NA
"AIA",2020,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2004,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2005,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2006,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2007,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2008,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2009,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2010,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2011,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2012,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2013,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2014,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2015,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2016,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2017,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2018,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2019,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALA",2020,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALB",2004,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALB",2005,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALB",2006,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALB",2007,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALB",2008,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALB",2009,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ALB",2010,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.793672588507058,NA,NA
"ALB",2011,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.205544887380259,NA,NA
"ALB",2012,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.377543222028328,NA,NA
"ALB",2013,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.71796889077903,NA,NA
"ALB",2014,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.976911912450319,NA,NA
"ALB",2015,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.24969911352208,NA,NA
"ALB",2016,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",0.736256531785659,NA,NA
"ALB",2017,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.5370646532989,NA,NA
"ALB",2018,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.15857141317576,NA,NA
"ALB",2019,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.48790178091945,NA,NA
"ALB",2020,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.20421257407823,NA,NA
"AND",2004,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2005,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2006,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2007,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2008,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2009,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2010,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2011,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2012,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2013,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2014,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2015,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2016,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2017,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2018,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2019,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"AND",2020,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ARE",2004,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ARE",2005,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ARE",2006,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ARE",2007,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ARE",2008,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",NA,NA,0
"ARE",2009,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.29697197911926,NA,NA
"ARE",2010,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.47452878370938,NA,NA
"ARE",2011,"10","10.5","10.5.1","FI_FSI_FSERA","Return on assets (%)",1.61619214763434,NA,NA
