"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2005,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2006,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2007,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2008,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2009,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2010,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2011,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2012,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2013,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2014,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2015,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2016,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2017,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2018,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2019,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"ABW",2020,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"AFG",2004,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
"AFG",2005,"10","10.5","10.5.1","FI_FSI_FSKNL","Non-performing loans net of provisions to capital (%)",NA,NA,0
