"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ABW",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AFG",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AFG",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AFG",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AFG",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AFG",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AFG",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AFG",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AFG",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",39.4096763779027,NA,NA
"AFG",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",45.5707003823738,NA,NA
"AFG",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",44.0541855348886,NA,NA
"AFG",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",154.659902375501,NA,NA
"AFG",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",212.057797819526,NA,NA
"AFG",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",25.4141617579973,NA,NA
"AFG",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",23.9995895390221,NA,NA
"AFG",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",30.821362117906,NA,NA
"AFG",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AFG",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AGO",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AGO",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AGO",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AGO",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AGO",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AGO",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AGO",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",21.4559943142818,NA,NA
"AGO",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",14.2188018344143,NA,NA
"AGO",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",1.42139317146916,NA,NA
"AGO",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",6.08691966513097,NA,NA
"AGO",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",15.7008199598312,NA,NA
"AGO",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",33.9155703162035,NA,NA
"AGO",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",56.4501051814244,NA,NA
"AGO",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",44.263118202319,NA,NA
"AGO",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",37.0364777912489,NA,NA
"AGO",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AGO",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AIA",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-216.942521817635,NA,NA
"AIA",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-360.908558,NA,NA
"AIA",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-1.116957,NA,NA
"AIA",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",28.704899,NA,NA
"AIA",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALA",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALB",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALB",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALB",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALB",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALB",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALB",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ALB",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",5.02921064531658,NA,NA
"ALB",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",3.93790358253001,NA,NA
"ALB",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",3.97571475310227,NA,NA
"ALB",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",4.07615418605366,NA,NA
"ALB",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",8.48397935758824,NA,NA
"ALB",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",7.50081831959146,NA,NA
"ALB",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",7.03158110589388,NA,NA
"ALB",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",6.6796583285904,NA,NA
"ALB",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",7.78021978637956,NA,NA
"ALB",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",7.43377278275795,NA,NA
"ALB",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",8.43652255824541,NA,NA
"AND",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"AND",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARE",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",11.7368908353418,NA,NA
"ARE",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",9.40216083224133,NA,NA
"ARE",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",20.7098788237033,NA,NA
"ARE",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",9.40432839764282,NA,NA
"ARE",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",14.4696513242344,NA,NA
"ARE",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",8.74764871781349,NA,NA
"ARE",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-2.34416781239313,NA,NA
"ARE",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARG",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARG",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",39.9532277888552,NA,NA
"ARG",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",29.5285304227201,NA,NA
"ARG",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",37.118196064746,NA,NA
"ARG",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",50.5628352037458,NA,NA
"ARG",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",39.4903784684168,NA,NA
"ARG",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",32.1487131391557,NA,NA
"ARG",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",42.472721905663,NA,NA
"ARG",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",43.1688200955529,NA,NA
"ARG",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",71.4399229782483,NA,NA
"ARG",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",21.761024617133,NA,NA
"ARG",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",21.8772046206583,NA,NA
"ARG",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",19.5083172718251,NA,NA
"ARG",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",12.0771729324942,NA,NA
"ARG",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",9.3398047284583,NA,NA
"ARG",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",8.56206938067587,NA,NA
"ARG",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARM",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ARM",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",0.814034037233852,NA,NA
"ARM",2006,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-0.433818257144081,NA,NA
"ARM",2007,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-2.35349160774452,NA,NA
"ARM",2008,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-8.83936526875237,NA,NA
"ARM",2009,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",0.51079779215787,NA,NA
"ARM",2010,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-1.69594674178465,NA,NA
"ARM",2011,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-1.83227091793612,NA,NA
"ARM",2012,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",0.539989243366122,NA,NA
"ARM",2013,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-0.88875370004352,NA,NA
"ARM",2014,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-11.5638422326138,NA,NA
"ARM",2015,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-2.84732975816266,NA,NA
"ARM",2016,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-3.48183526347462,NA,NA
"ARM",2017,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-1.41994339026254,NA,NA
"ARM",2018,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-3.15932144421365,NA,NA
"ARM",2019,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",-0.65941076360485,NA,NA
"ARM",2020,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",1.91966883034645,NA,NA
"ASM",2004,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
"ASM",2005,"10","10.5","10.5.1","FI_FSI_FSSNO","Net open position in foreign exchange to capital (%)",NA,NA,0
