"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",-105.65238,"C",1
"ABW",2005,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",-207.04278,"C",1
"ABW",2006,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",221.34776,"C",1
"ABW",2007,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",-469.73759,"C",1
"ABW",2008,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",19.55307,"C",1
"ABW",2009,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",-10.70141,"C",1
"ABW",2010,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",236.87151,"C",1
"ABW",2011,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",489.49721,"C",1
"ABW",2012,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",-316.42458,"C",1
"ABW",2013,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",227.31844,"C",1
"ABW",2014,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",208.32402,"C",1
"ABW",2015,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",-26.87151,"C",1
"ABW",2016,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",27.5419,"C",1
"ABW",2017,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",162.4581,"C",1
"ABW",2018,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",135.53073,"C",1
"ABW",2019,"17","17.3","17.3.1","GF_FRN_FDI","Foreign direct investment (FDI) inflows (millions of US dollars)",-76.03352,"C",1
