"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2005,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2006,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2007,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2008,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2009,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2010,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2011,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2012,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2013,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2014,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2015,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2016,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2017,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2018,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2019,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"ABW",2020,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"AFG",2004,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",43385.84416306,NA,NA
"AFG",2005,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",55170.0465004319,NA,NA
"AFG",2006,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",104517.716789663,NA,NA
"AFG",2007,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",156634.504463911,NA,NA
"AFG",2008,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",454974.36912585,NA,NA
"AFG",2009,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",452835.628080266,NA,NA
"AFG",2010,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",610519.934730384,NA,NA
"AFG",2011,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",801048.690863414,NA,NA
"AFG",2012,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",691315.327617565,NA,NA
"AFG",2013,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",768300,NA,NA
"AFG",2014,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",678812.677450551,NA,NA
"AFG",2015,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",663397.389065163,NA,NA
"AFG",2016,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",638696.999853063,NA,NA
"AFG",2017,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",623304.234652788,NA,NA
"AFG",2018,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"AFG",2019,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"AFG",2020,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"AGO",2004,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",544974,NA,NA
"AGO",2005,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",787060,NA,NA
"AGO",2006,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",1940820,NA,NA
"AGO",2007,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",2252180,NA,NA
"AGO",2008,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",2834560,NA,NA
"AGO",2009,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",1241000,NA,NA
"AGO",2010,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",2695150,NA,NA
"AGO",2011,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",4682610,NA,NA
"AGO",2012,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",4428540,NA,NA
"AGO",2013,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",4711390,NA,NA
"AGO",2014,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",4423859.18207284,NA,NA
"AGO",2015,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",2619396.61366396,NA,NA
"AGO",2016,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",2601718.94631449,NA,NA
"AGO",2017,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",3315031.46372449,NA,NA
"AGO",2018,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"AGO",2019,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"AGO",2020,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",NA,NA,0
"AIA",2004,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",118.952322,NA,NA
"AIA",2005,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",131.243154,NA,NA
"AIA",2006,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",196.1205881,NA,NA
"AIA",2007,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",210.369412,NA,NA
"AIA",2008,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",213.56905109,NA,NA
"AIA",2009,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",148.332444,NA,NA
"AIA",2010,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",189.763034,NA,NA
"AIA",2011,"17","17.1","17.1.1","GR_G14_XDC","Total government revenue, in local currency",205.039799,NA,NA
