"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",7.05207,"E",1
"ABW",2005,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",12.2702,"E",1
"ABW",2006,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",13.83759,"E",1
"ABW",2007,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",15.80289,"E",1
"ABW",2008,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",18.14953,"E",1
"ABW",2009,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",18.53038,"E",1
"ABW",2010,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",18.90153,"E",1
"ABW",2011,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ABW",2012,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ABW",2013,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",18.61205,"E",1
"ABW",2014,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",18.50174,"E",1
"ABW",2015,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",18.20952,"E",1
"ABW",2016,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ABW",2017,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ABW",2018,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ABW",2019,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ABW",2020,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,NA
"AFG",2004,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",8.1e-4,"E",1
"AFG",2005,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",8.6e-4,"E",1
"AFG",2006,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.00189,"E",1
"AFG",2007,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.00184,"E",1
"AFG",2008,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.0018,"E",1
"AFG",2009,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.00352,"E",1
"AFG",2010,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.00514,"E",1
"AFG",2011,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"AFG",2012,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.00481,"E",1
"AFG",2013,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.00465,"E",1
"AFG",2014,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.00449,"E",1
"AFG",2015,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.01027,"E",1
"AFG",2016,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.012435,"E",1
"AFG",2017,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.01264885,"E",1
"AFG",2018,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.02152,"E",1
"AFG",2019,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.02587,"E",1
"AFG",2020,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,NA
"AGO",2004,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"AGO",2005,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"AGO",2006,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.03701,"E",1
"AGO",2007,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.05597,"E",1
"AGO",2008,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.07348,"E",1
"AGO",2009,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.06662,"E",1
"AGO",2010,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.06422,"E",1
"AGO",2011,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.027161625,"E",1
"AGO",2012,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.034053475,"E",1
"AGO",2013,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.03951615,"E",1
"AGO",2014,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.1174925,"E",1
"AGO",2015,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.1768275,"E",1
"AGO",2016,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.146875,"E",1
"AGO",2017,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.162525,"E",1
"AGO",2018,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.17633000000000001,"E",1
"AGO",2019,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.187065,"E",1
"AGO",2020,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,NA
"AIA",2004,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",11.90223,"E",1
"AIA",2005,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",17.81097,"E",1
"AIA",2006,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",22.42319,"E",1
"AIA",2007,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",25.64501,"E",1
"AIA",2008,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",27.96448,"E",1
"AIA",2009,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",28.30744,"E",1
"AIA",2010,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",28.19616,"E",1
"AIA",2011,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",28.97944,"E",1
"AIA",2012,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",29.72091,"E",1
"AIA",2013,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",30.81554,"E",1
"AIA",2014,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",31.17914,"E",1
"AIA",2015,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",35.01646,"E",1
"AIA",2016,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"AIA",2017,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"AIA",2018,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"AIA",2019,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"AIA",2020,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,NA
"ALA",2004,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2005,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2006,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2007,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2008,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2009,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2010,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2011,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2012,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2013,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2014,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2015,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2016,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2017,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2018,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2019,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALA",2020,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,NA
"ALB",2004,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALB",2005,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.00881,"E",1
"ALB",2006,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",NA,NA,0
"ALB",2007,"17","17.6","17.6.1","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.3296,"E",1
