"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",6963,"E",1
"ABW",2005,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",12274,"E",1
"ABW",2006,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",13953,"E",1
"ABW",2007,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",15996,"C",1
"ABW",2008,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",18396,"C",1
"ABW",2009,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",18800,"E",1
"ABW",2010,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",19217,"C",1
"ABW",2011,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,0
"ABW",2012,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,0
"ABW",2013,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",19200,"E",1
"ABW",2014,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",19200,"E",1
"ABW",2015,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",19000,"E",1
"ABW",2016,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,0
"ABW",2017,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,0
"ABW",2018,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,0
"ABW",2019,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,0
"ABW",2020,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,NA
"AFG",2004,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",200,"C",1
"AFG",2005,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",220,"C",1
"AFG",2006,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",500,"C",1
"AFG",2007,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",500,"E",1
"AFG",2008,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",500,"E",1
"AFG",2009,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",1000,"C",1
"AFG",2010,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",1500,"E",1
"AFG",2011,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,0
"AFG",2012,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",1500,"E",1
"AFG",2013,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",1500,"E",1
"AFG",2014,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",1500,"E",1
"AFG",2015,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",3533.5,"C",1
"AFG",2016,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",4400.5,"C",1
"AFG",2017,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",4591,"C",1
"AFG",2018,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",7999.5,"C",1
"AFG",2019,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",9841.5,"C",1
"AFG",2020,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,NA
"AGO",2004,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,0
"AGO",2005,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",NA,NA,0
"AGO",2006,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",7458,"E",1
"AGO",2007,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",11700,"E",1
"AGO",2008,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",15942,"E",1
"AGO",2009,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",15000,"E",1
"AGO",2010,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",15000,"E",1
"AGO",2011,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",6579.5,"C",1
"AGO",2012,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",8550,"C",1
"AGO",2013,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",10280.5,"C",1
"AGO",2014,"17","17.6","17.6.1","IT_NET_BBNDN","Number of fixed Internet broadband subscriptions, by speed (number)",31655.25,"C",1
