"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",23,"E",1
"ABW",2005,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",25.4,"E",1
"ABW",2006,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",28,"E",1
"ABW",2007,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",30.9,"E",1
"ABW",2008,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",52,"E",1
"ABW",2009,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",58,"E",1
"ABW",2010,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",62,"E",1
"ABW",2011,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",69,"E",1
"ABW",2012,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",74,"E",1
"ABW",2013,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",78.9,"E",1
"ABW",2014,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",83.78,"E",1
"ABW",2015,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",88.66123,"E",1
"ABW",2016,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",93.54245,"E",1
"ABW",2017,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",97.17,"E",1
"ABW",2018,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",NA,NA,0
"ABW",2019,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",NA,NA,0
"ABW",2020,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",NA,NA,NA
"AFG",2004,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",0.10581,"C",1
"AFG",2005,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",1.22415,"C",1
"AFG",2006,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",2.10712,"C",1
"AFG",2007,"17","17.8","17.8.1","IT_USE_ii99","Internet users per 100 inhabitants",1.9,"E",1
