"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.05,"M",0
"ABW",2005,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.01,"M",0
"ABW",2006,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.07,"M",0
"ABW",2007,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.14,"M",0
"ABW",2008,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.03,"M",0
"ABW",2009,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.34,"M",0
"ABW",2010,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.45,"M",0
"ABW",2011,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.46,"M",0
"ABW",2012,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.51,"M",0
"ABW",2013,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.35,"M",0
"ABW",2014,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.53,"M",0
"ABW",2015,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.65,"M",0
"ABW",2016,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.75,"M",0
"ABW",2017,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.98,"M",0
"ABW",2018,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.8,"M",0
"ABW",2019,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.84,"M",0
"ABW",2020,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",NA,NA,NA
"AFG",2004,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",13.85,"M",0
"AFG",2005,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",12.42,"M",0
"AFG",2006,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",11.13,"M",0
"AFG",2007,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",11.01,"M",0
"AFG",2008,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",10.51,"M",0
"AFG",2009,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",7.78,"M",0
"AFG",2010,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",6.52,"M",0
"AFG",2011,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",6.32,"M",0
"AFG",2012,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",5.54,"M",0
"AFG",2013,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",4.67,"M",0
"AFG",2014,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",4.28,"M",0
"AFG",2015,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.98,"M",0
"AFG",2016,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.64,"M",0
"AFG",2017,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.11,"M",0
"AFG",2018,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",5.18,"M",0
"AFG",2019,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",4.76,"M",0
"AFG",2020,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",NA,NA,NA
"AGO",2004,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",4.68,"M",0
"AGO",2005,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.91,"M",0
"AGO",2006,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",4.22,"M",0
"AGO",2007,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",5.31,"M",0
"AGO",2008,"9","9.2","9.2.1","NV_IND_MANF_CD","Manufacturing value added (current United States dollars) as a proportion of GDP (%)",3.82,"M",0
