"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",5.65,"CA",1
"ABW",2005,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-0.13,"CA",1
"ABW",2006,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-0.54,"CA",1
"ABW",2007,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",2.42,"CA",1
"ABW",2008,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-2.47,"CA",1
"ABW",2009,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-8.63,"CA",1
"ABW",2010,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-3.46,"CA",1
"ABW",2011,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-0.03,"CA",1
"ABW",2012,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-1.86,"CA",1
"ABW",2013,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",3.59,"CA",1
"ABW",2014,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-0.32,"CA",1
"ABW",2015,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",5.15,"CA",1
"ABW",2016,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",1.54,"CA",1
"ABW",2017,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",1.49,"CA",1
"ABW",2018,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",0.45,"CA",1
"ABW",2019,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-1.14,"CA",1
"ABW",2020,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",NA,NA,NA
"AFG",2004,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-1.49,"CA",1
"AFG",2005,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",3.62,"CA",1
"AFG",2006,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",5.36,"CA",1
"AFG",2007,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",19.62,"CA",1
"AFG",2008,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-3.32,"CA",1
"AFG",2009,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",8.24,"CA",1
"AFG",2010,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",2.4,"CA",1
"AFG",2011,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",3.46,"CA",1
"AFG",2012,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",6.03,"CA",1
"AFG",2013,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",2.99,"CA",1
"AFG",2014,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-0.33,"CA",1
"AFG",2015,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-4.41,"CA",1
"AFG",2016,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-1.13,"CA",1
"AFG",2017,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",0.07,"CA",1
"AFG",2018,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",-0.81,"CA",1
"AFG",2019,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",1.65,"CA",1
"AFG",2020,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",NA,NA,NA
"AGO",2004,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",7.19,"CA",1
"AGO",2005,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",11.03,"CA",1
"AGO",2006,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",7.68,"CA",1
"AGO",2007,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",9.89,"CA",1
"AGO",2008,"8","8.1","8.1.1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)",7.12,"CA",1
