iso3c,date,goal,target,code,code1,description1,ind_value,ind_metadata,ind_quality
ABW,2010,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",0.9995733333333333,C,1
ABW,2011,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",1.0046466666666667,C,1
ABW,2012,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",1.0208933333333332,C,1
ABW,2013,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ABW,2014,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ABW,2015,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ABW,2016,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ABW,2017,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ABW,2018,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ABW,2019,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ABW,2020,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2010,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2011,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2012,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2013,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2014,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2015,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2016,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2017,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2018,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2019,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AFG,2020,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AGO,2010,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",1.10248,C,1
AGO,2011,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",1.108575,E,1
AGO,2012,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AGO,2013,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AGO,2014,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AGO,2015,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",1.0482666666666667,C,1
AGO,2016,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AGO,2017,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AGO,2018,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AGO,2019,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AGO,2020,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AIA,2010,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",1.77193,C,1
AIA,2011,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",1.67279,C,1
AIA,2012,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AIA,2013,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AIA,2014,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AIA,2015,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AIA,2016,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AIA,2017,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AIA,2018,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AIA,2019,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
AIA,2020,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ALA,2010,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ALA,2011,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ALA,2012,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ALA,2013,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ALA,2014,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ALA,2015,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ALA,2016,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ALA,2017,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
ALA,2018,4,4.5,4.5.1,SE_GPI_TCAQ,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio)",NA,NA,0
