"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2005,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2006,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2007,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2008,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2009,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2010,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2011,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2012,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2013,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2014,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2015,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2016,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2017,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2018,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2019,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ABW",2020,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,NA
"AFG",2004,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",112.03333333333333,"E",1
"AFG",2005,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",107.8,"E",1
"AFG",2006,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",103.6,"E",1
"AFG",2007,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",99.43333333333334,"E",1
"AFG",2008,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",95.36666666666667,"E",1
"AFG",2009,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",91.36666666666667,"E",1
"AFG",2010,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",87.53333333333333,"E",1
"AFG",2011,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",83.8,"E",1
"AFG",2012,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",80.26666666666667,"E",1
"AFG",2013,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",76.76666666666667,"E",1
"AFG",2014,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",73.53333333333333,"E",1
"AFG",2015,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",70.36666666666667,"E",1
"AFG",2016,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",67.53333333333333,"E",1
"AFG",2017,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",64.9,"E",1
"AFG",2018,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",62.46666666666666,"E",1
"AFG",2019,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",60.233333333333334,"E",1
"AFG",2020,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,NA
"AGO",2004,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",174.46666666666667,"E",1
"AGO",2005,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",165.36666666666667,"E",1
"AGO",2006,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",156,"E",1
"AGO",2007,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",146.63333333333333,"E",1
"AGO",2008,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",137.3,"E",1
"AGO",2009,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",128.4,"E",1
"AGO",2010,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",120.03333333333333,"E",1
"AGO",2011,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",112.2,"E",1
"AGO",2012,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",104.89999999999999,"E",1
"AGO",2013,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",98.46666666666667,"E",1
"AGO",2014,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",92.86666666666666,"E",1
"AGO",2015,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",88.13333333333334,"E",1
"AGO",2016,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",84.13333333333334,"E",1
"AGO",2017,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",80.6,"E",1
"AGO",2018,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",77.53333333333333,"E",1
"AGO",2019,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",74.60000000000001,"E",1
"AGO",2020,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,NA
"AIA",2004,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2005,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2006,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2007,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2008,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2009,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2010,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2011,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2012,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2013,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2014,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2015,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2016,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2017,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2018,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2019,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"AIA",2020,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,NA
"ALA",2004,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2005,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2006,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2007,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2008,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2009,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2010,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2011,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2012,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2013,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2014,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2015,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2016,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2017,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2018,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2019,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,0
"ALA",2020,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",NA,NA,NA
"ALB",2004,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",21.366666666666667,"E",1
"ALB",2005,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",19.933333333333334,"E",1
"ALB",2006,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",18.46666666666667,"E",1
"ALB",2007,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",17.066666666666666,"E",1
"ALB",2008,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",15.766666666666667,"E",1
"ALB",2009,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",14.433333333333334,"E",1
"ALB",2010,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",13.233333333333333,"E",1
"ALB",2011,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",12.1,"E",1
"ALB",2012,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",11.166666666666666,"E",1
"ALB",2013,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",10.4,"E",1
"ALB",2014,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",9.9,"E",1
"ALB",2015,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",9.533333333333333,"E",1
"ALB",2016,"3","3.2","3.2.1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)",9.4,"E",1
