"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2005,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2006,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2007,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2008,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2009,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2010,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2011,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2012,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2013,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2014,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2015,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2016,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2017,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2018,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2019,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,0
"ABW",2020,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,NA
"AFG",2004,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",61887,"E",1
"AFG",2005,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",61321,"E",1
"AFG",2006,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",60571,"E",1
"AFG",2007,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",59600,"E",1
"AFG",2008,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",58432,"E",1
"AFG",2009,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",57037,"E",1
"AFG",2010,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",55545,"E",1
"AFG",2011,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",53977,"E",1
"AFG",2012,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",52436,"E",1
"AFG",2013,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",50916,"E",1
"AFG",2014,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",49416,"E",1
"AFG",2015,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",47981,"E",1
"AFG",2016,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",46717,"E",1
"AFG",2017,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",45625,"E",1
"AFG",2018,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",44503,"E",1
"AFG",2019,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",43424,"E",1
"AFG",2020,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",NA,NA,NA
"AGO",2004,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",40565,"E",1
"AGO",2005,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",40414,"E",1
"AGO",2006,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",40110,"E",1
"AGO",2007,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",39809,"E",1
"AGO",2008,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",39490,"E",1
"AGO",2009,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",39122,"E",1
"AGO",2010,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",38656,"E",1
"AGO",2011,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",38148,"E",1
"AGO",2012,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",37635,"E",1
"AGO",2013,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",37255,"E",1
"AGO",2014,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",36745,"E",1
"AGO",2015,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",36317,"E",1
"AGO",2016,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",35974,"E",1
"AGO",2017,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",35717,"E",1
"AGO",2018,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",35489,"E",1
"AGO",2019,"3","3.2","3.2.2","SH_DYN_NMRTN","Neonatal deaths (number)",35358,"E",1
