iso3c,date,goal,target,code,code1,description1,ind_value,ind_metadata,ind_quality
ABW,2010,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,0
ABW,2011,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,0
ABW,2012,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,0
ABW,2013,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,0
ABW,2014,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,0
ABW,2015,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,0
ABW,2016,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,0
ABW,2017,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,0
ABW,2018,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,NA
ABW,2019,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,NA
ABW,2020,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,NA
AFG,2010,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,954,NA,NA
AFG,2011,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,905,NA,NA
AFG,2012,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,858,NA,NA
AFG,2013,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,810,NA,NA
AFG,2014,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,786,NA,NA
AFG,2015,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,701,NA,NA
AFG,2016,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,673,NA,NA
AFG,2017,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,638,NA,NA
AFG,2018,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,NA
AFG,2019,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,NA
AFG,2020,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,NA,NA,NA
AGO,2010,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,326,NA,NA
