"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2005,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2006,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2007,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2008,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2009,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2010,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2011,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2012,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2013,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2014,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2015,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2016,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2017,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2018,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2019,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"ABW",2020,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",NA,NA,0
"AFG",2004,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2531.3,"M",0
"AFG",2005,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2554.4,"M",0
"AFG",2006,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2580,"M",0
"AFG",2007,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2579.3,"M",0
"AFG",2008,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2562.4,"M",0
"AFG",2009,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2534.7,"M",0
"AFG",2010,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2507.4,"M",0
"AFG",2011,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2466.3,"M",0
"AFG",2012,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2417.3,"M",0
"AFG",2013,"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)",2363.2,"M",0
