iso3c,date,goal,target,code,code1,description1,ind_value,ind_metadata,ind_quality,sex
ABW,2010,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2011,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2012,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2013,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2014,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2015,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2016,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2017,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2018,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2019,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
ABW,2020,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2010,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2011,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2012,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2013,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2014,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2015,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2016,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2017,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2018,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2019,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AFG,2020,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2010,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2011,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2012,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2013,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2014,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2015,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2016,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2017,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2018,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2019,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AGO,2020,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2010,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2011,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2012,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2013,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2014,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2015,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2016,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2017,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2018,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
AIA,2019,8,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),NA,NA,NA,NA
