"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2005,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2006,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2007,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2008,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2009,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2010,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2011,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2012,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2013,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2014,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2015,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2016,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2017,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2018,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ABW",2019,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,NA,NA
"ABW",2020,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,NA,NA
"AFG",2004,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",38.1,"E",1
"AFG",2005,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",36.2,"E",1
"AFG",2006,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",33.5,"E",1
"AFG",2007,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",30,"E",1
"AFG",2008,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",26.4,"E",1
"AFG",2009,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",24.9,"E",1
"AFG",2010,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",24.1,"E",1
"AFG",2011,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",25,"E",1
"AFG",2012,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",27.2,"E",1
"AFG",2013,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",26.5,"E",1
"AFG",2014,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",26.4,"E",1
"AFG",2015,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",25.8,"E",1
"AFG",2016,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",27.5,"E",1
"AFG",2017,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",28.9,"E",1
"AFG",2018,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",29.9,"E",1
"AFG",2019,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,NA,NA
"AFG",2020,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,NA,NA
"AGO",2004,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",55.1,"E",1
"AGO",2005,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",52.2,"E",1
"AGO",2006,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",49.4,"E",1
"AGO",2007,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",46.2,"E",1
"AGO",2008,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",43,"E",1
"AGO",2009,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",40.3,"E",1
"AGO",2010,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",37.9,"E",1
"AGO",2011,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",37,"E",1
"AGO",2012,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",35.4,"E",1
"AGO",2013,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",29.2,"E",1
"AGO",2014,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",23.1,"E",1
"AGO",2015,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",19,"E",1
"AGO",2016,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",19.5,"E",1
"AGO",2017,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",19.4,"E",1
"AGO",2018,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",18.6,"E",1
"AGO",2019,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,NA,NA
"AGO",2020,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,NA,NA
"AIA",2004,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2005,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2006,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2007,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2008,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2009,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2010,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2011,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2012,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2013,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2014,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2015,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2016,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2017,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2018,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"AIA",2019,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,NA,NA
"AIA",2020,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,NA,NA
"ALA",2004,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2005,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2006,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2007,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2008,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2009,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2010,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2011,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2012,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2013,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2014,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2015,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2016,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
"ALA",2017,"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)",NA,"NA",NA
