"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2005,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2006,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2007,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2008,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2009,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2010,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2011,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2012,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2013,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2014,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2015,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2016,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2017,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2018,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2019,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"ABW",2020,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",NA,NA,0
"AFG",2004,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",275.3,"M",0
"AFG",2005,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",283.1,"M",0
"AFG",2006,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",290.4,"M",0
"AFG",2007,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",294.5,"M",0
"AFG",2008,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",296.1,"M",0
"AFG",2009,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",296.4,"M",0
"AFG",2010,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",296.1,"M",0
"AFG",2011,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",293.1,"M",0
"AFG",2012,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",288.2,"M",0
"AFG",2013,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",281.6,"M",0
"AFG",2014,"2","2.2","2.2.2","SN_STA_OVWGTN","Children moderately or severely overweight (thousands)",273.4,"M",0
