"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"ABW",2005,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",9.633598,"C",1
"ABW",2006,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"ABW",2007,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"ABW",2008,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"ABW",2009,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"ABW",2010,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",10.283226,"C",1
"ABW",2011,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",10.236864,"C",1
"ABW",2012,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",10.182754,"C",1
"ABW",2013,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",9.382468,"C",1
"ABW",2014,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",9.336682,"C",1
"ABW",2015,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",9.045106,"C",1
"ABW",2016,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",9.06804,"C",1
"ABW",2017,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",9.127888,"C",1
"ABW",2018,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",9.186188,"C",1
"ABW",2019,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",9.161810000000001,"C",1
"ABW",2020,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"AFG",2004,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"AFG",2005,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",3.3418216666666667,"C",1
"AFG",2006,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"AFG",2007,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"AFG",2008,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"AFG",2009,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",NA,NA,NA
"AFG",2010,"17","17.12","17.12.1","TM_TAX_DMFN","Average tariff applied by developed countries, most-favored nation status, by type of product (%)",3.2552600000000003,"C",1
