"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"ABW",2005,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",5.011958,"C",1
"ABW",2006,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"ABW",2007,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"ABW",2008,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"ABW",2009,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"ABW",2010,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",5.8874439999999995,"C",1
"ABW",2011,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",5.854532,"C",1
"ABW",2012,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",5.8307199999999995,"C",1
"ABW",2013,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",5.0551639999999995,"C",1
"ABW",2014,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",5.043834,"C",1
"ABW",2015,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",4.945896,"C",1
"ABW",2016,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",4.96852,"C",1
"ABW",2017,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",6.41405,"C",1
"ABW",2018,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",6.4557400000000005,"C",1
"ABW",2019,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",6.432842000000001,"C",1
"ABW",2020,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"AFG",2004,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"AFG",2005,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",1.3337783333333333,"C",1
"AFG",2006,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"AFG",2007,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"AFG",2008,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"AFG",2009,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",NA,NA,NA
"AFG",2010,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",1.2776316666666667,"C",1
"AFG",2011,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",1.1917216666666666,"C",1
"AFG",2012,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",1.2550766666666666,"C",1
"AFG",2013,"17","17.12","17.12.1","TM_TAX_DPRF","Average tariff applied by developed countries, preferential status, by type of product (%)",1.25916,"C",1
