"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,NA
"ABW",2005,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2006,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2007,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2008,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2009,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2010,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2011,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2012,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2013,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2014,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2015,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2016,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2017,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2018,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2019,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ABW",2020,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2004,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,NA
"AFG",2005,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2006,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2007,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2008,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2009,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2010,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2011,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2012,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2013,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2014,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2015,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2016,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AFG",2017,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",25021.8,"C",1
"AFG",2018,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",28665.58,"C",1
"AFG",2019,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",372261.00027,"C",1
"AFG",2020,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AGO",2004,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,NA
"AGO",2005,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",10485,"C",1
"AGO",2006,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",16374,"C",1
"AGO",2007,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",43274,"C",1
"AGO",2008,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",98202,"C",1
"AGO",2009,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",19891,"C",1
"AGO",2010,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",18715,"C",1
"AGO",2011,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",187508,"C",1
"AGO",2012,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",19814,"C",1
"AGO",2013,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",12111,"C",1
"AGO",2014,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",30701,"C",1
"AGO",2015,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",40634,"C",1
"AGO",2016,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",75290,"C",1
"AGO",2017,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",38797,"C",1
"AGO",2018,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",33176,"C",1
"AGO",2019,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AGO",2020,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",9082.16432,"C",1
"AIA",2004,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,NA
"AIA",2005,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2006,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2007,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2008,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2009,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2010,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2011,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2012,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2013,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2014,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2015,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2016,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2017,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2018,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2019,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"AIA",2020,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2004,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,NA
"ALA",2005,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2006,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2007,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2008,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2009,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2010,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2011,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2012,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2013,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2014,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2015,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2016,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2017,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2018,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2019,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALA",2020,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,0
"ALB",2004,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",NA,NA,NA
"ALB",2005,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",10313.36954,"C",1
"ALB",2006,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",1040.96369,"C",1
"ALB",2007,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",323.87113,"C",1
"ALB",2008,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",311.87988,"C",1
"ALB",2009,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",7568.44695,"C",1
"ALB",2010,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",41820.25099,"C",1
"ALB",2011,"13","13.1","13.1.1","VC_DSR_AFFCT","Number of people affected by disaster (number)",847.87177,"C",1
