"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,NA
"ABW",2005,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2006,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2007,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2008,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2009,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2010,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2011,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2012,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2013,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2014,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2015,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2016,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2017,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2018,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2019,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"ABW",2020,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2004,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,NA
"AFG",2005,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2006,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2007,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2008,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2009,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2010,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2011,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2012,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2013,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2014,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2015,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2016,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AFG",2017,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",38577788.99946,"C",1
"AFG",2018,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",112798612.5,"C",1
"AFG",2019,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",565500262.5,"C",1
"AFG",2020,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,0
"AGO",2004,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",NA,NA,NA
"AGO",2005,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",30869437.5,"C",1
"AGO",2006,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",63248250,"C",1
"AGO",2007,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",108.87023,"C",1
"AGO",2008,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",270.05091,"C",1
"AGO",2009,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",27000037.83341,"C",1
"AGO",2010,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",40456931.35207,"C",1
"AGO",2011,"11","11.5","11.5.2","VC_DSR_HOLH","Direct economic loss in the housing sector attributed to disasters (current United States dollars)",145171993.26269,"C",1
