Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Reporting Type],[Units]
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2003","0.98833","2003","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2004","0.98942","2004","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2005","0.99135","2005","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2006","0.99053","2006","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2007","0.99242","2007","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2008","0.99445","2008","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2009","0.99417","2009","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2010","0.99579","2010","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2011","0.99603","2011","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2012","0.99594","2012","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2013","0.99459","2013","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2014","0.99199","2014","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PTNPRE","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","1","World","2015","0.99485","2015","","","","","UNESCO Institute for Statistics.  Data extracted on 24 February 2023.","","","N","G","Ratio"
