Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Migratory status],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2013","3.53","2013","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 workers employed) | Time period for occurrence of death: No specified period for occurrence of deaths","_T","C","A","G","MALE","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2014","2","2014","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Time period for occurrence of death: Deaths occurring within 1 year","_T","C","A","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2014","0.3","2014","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Time period for occurrence of death: Deaths occurring within 1 year","_T","C","A","G","FEMALE","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2014","3.5","2014","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Time period for occurrence of death: Deaths occurring within 1 year","_T","C","A","G","MALE","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2015","1.72","2015","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Time period for occurrence of death: Deaths occurring within 1 year","_T","C","A","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2016","1.76","2016","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Time period for occurrence of death: Deaths occurring within 1 year","_T","C","A","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2017","1.81","2017","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Time period for occurrence of death: Deaths occurring within 1 year","_T","C","A","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2018","1.93","2018","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Time period for occurrence of death: Deaths occurring within 1 year","_T","C","A","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2019","4.87","2019","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Time period for occurrence of death: Deaths occurring within 1 year","_T","C","A","G","BOTHSEX","PER_100000_EMP"
"8","8.8","8.8.1","SL_EMP_FTLINJUR","Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)","124","Canada","2020","5.13","2020","","","","","Source: ADM-REO - National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).","","Data reference period: End of the year | Reference group coverage: Insured persons | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Time period for occurrence of death: Deaths occurring within 1 year","_T","C","A","G","BOTHSEX","PER_100000_EMP"
