"iso3c","date","country","region","income_level","goal","ind_quality"
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Combined",0.089
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 1",0.111
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 2",0.077
"ABW",2020,"Aruba","Latin America & Caribbean","High income","1",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","10",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","16",0.2
"ABW",2020,"Aruba","Latin America & Caribbean","High income","2",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","3",0.2
"ABW",2020,"Aruba","Latin America & Caribbean","High income","4",0.333
"ABW",2020,"Aruba","Latin America & Caribbean","High income","5",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","8",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income",NA,0
"AFG",2020,"Afghanistan","South Asia","Low income","Combined",0.444
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 1",0.667
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 2",0.308
"AFG",2020,"Afghanistan","South Asia","Low income","1",0.167
"AFG",2020,"Afghanistan","South Asia","Low income","10",0
"AFG",2020,"Afghanistan","South Asia","Low income","16",0.4
"AFG",2020,"Afghanistan","South Asia","Low income","2",0.5
"AFG",2020,"Afghanistan","South Asia","Low income","3",1
"AFG",2020,"Afghanistan","South Asia","Low income","4",0.333
"AFG",2020,"Afghanistan","South Asia","Low income","5",0.538
"AFG",2020,"Afghanistan","South Asia","Low income","8",0.333
"AFG",2020,"Afghanistan","South Asia","Low income",NA,0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Combined",0.422
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 1",0.667
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 2",0.269
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","1",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","10",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","16",0.2
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","2",0.5
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","3",1
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","4",0.5
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","5",0.462
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","8",0.5
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income",NA,0
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Combined",0.578
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 1",0.778
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 2",0.462
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","1",0.333
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","10",0
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","16",0.2
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","2",0.5
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","3",1
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","4",0.667
