"iso3c","date","country","region","income_level","goal","ind_quality"
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Combined",0.045
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 1",0.065
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 2",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","1",0.2
"ABW",2020,"Aruba","Latin America & Caribbean","High income","10",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","12",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","13",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","16",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","2",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","3",0.167
"ABW",2020,"Aruba","Latin America & Caribbean","High income","4",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","5",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","8",0
"AFG",2020,"Afghanistan","South Asia","Low income","Combined",0.535
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 1",0.533
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 2",0.538
"AFG",2020,"Afghanistan","South Asia","Low income","1",0.6
"AFG",2020,"Afghanistan","South Asia","Low income","10",0
"AFG",2020,"Afghanistan","South Asia","Low income","12",1
"AFG",2020,"Afghanistan","South Asia","Low income","13",1
"AFG",2020,"Afghanistan","South Asia","Low income","16",0.333
"AFG",2020,"Afghanistan","South Asia","Low income","2",0.5
"AFG",2020,"Afghanistan","South Asia","Low income","3",1
"AFG",2020,"Afghanistan","South Asia","Low income","4",0.571
"AFG",2020,"Afghanistan","South Asia","Low income","5",0.538
"AFG",2020,"Afghanistan","South Asia","Low income","8",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Combined",0.372
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 1",0.433
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 2",0.231
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","1",0.2
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","10",1
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","12",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","13",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","16",0.333
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","2",0.5
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","3",0.8
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","4",0.286
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","5",0.385
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","8",0.2
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Combined",0.651
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 1",0.633
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 2",0.692
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","1",0.2
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","10",1
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","12",1
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","13",1
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","16",0.333
