iso3c,date,country,region,income_level,goal,sex,ind_quality
ABW,2020,Aruba,Latin America & Caribbean,High income,Combined,BOTHSEX,1
ABW,2020,Aruba,Latin America & Caribbean,High income,Combined,FEMALE,1
ABW,2020,Aruba,Latin America & Caribbean,High income,Combined,MALE,1
ABW,2020,Aruba,Latin America & Caribbean,High income,Combined,NA,0
ABW,2020,Aruba,Latin America & Caribbean,High income,1,BOTHSEX,1
ABW,2020,Aruba,Latin America & Caribbean,High income,1,NA,0
ABW,2020,Aruba,Latin America & Caribbean,High income,16,FEMALE,1
ABW,2020,Aruba,Latin America & Caribbean,High income,16,MALE,1
ABW,2020,Aruba,Latin America & Caribbean,High income,4,BOTHSEX,1
ABW,2020,Aruba,Latin America & Caribbean,High income,4,FEMALE,1
ABW,2020,Aruba,Latin America & Caribbean,High income,4,MALE,1
ABW,2020,Aruba,Latin America & Caribbean,High income,8,NA,0
AFG,2020,Afghanistan,South Asia,Low income,Combined,BOTHSEX,1
AFG,2020,Afghanistan,South Asia,Low income,Combined,FEMALE,1
AFG,2020,Afghanistan,South Asia,Low income,Combined,MALE,1
AFG,2020,Afghanistan,South Asia,Low income,Combined,NA,0.5
AFG,2020,Afghanistan,South Asia,Low income,1,BOTHSEX,1
AFG,2020,Afghanistan,South Asia,Low income,1,NA,1
AFG,2020,Afghanistan,South Asia,Low income,16,FEMALE,1
AFG,2020,Afghanistan,South Asia,Low income,16,MALE,1
AFG,2020,Afghanistan,South Asia,Low income,3,BOTHSEX,1
AFG,2020,Afghanistan,South Asia,Low income,3,FEMALE,1
AFG,2020,Afghanistan,South Asia,Low income,3,MALE,1
AFG,2020,Afghanistan,South Asia,Low income,4,BOTHSEX,1
AFG,2020,Afghanistan,South Asia,Low income,4,FEMALE,1
AFG,2020,Afghanistan,South Asia,Low income,4,MALE,1
AFG,2020,Afghanistan,South Asia,Low income,5,BOTHSEX,1
AFG,2020,Afghanistan,South Asia,Low income,8,BOTHSEX,1
AFG,2020,Afghanistan,South Asia,Low income,8,FEMALE,1
AFG,2020,Afghanistan,South Asia,Low income,8,MALE,1
AFG,2020,Afghanistan,South Asia,Low income,8,NA,0
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,Combined,BOTHSEX,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,Combined,FEMALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,Combined,MALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,Combined,NA,0
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,1,BOTHSEX,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,1,FEMALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,1,MALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,1,NA,0
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,3,BOTHSEX,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,3,FEMALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,3,MALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,4,BOTHSEX,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,4,FEMALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,4,MALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,8,BOTHSEX,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,8,FEMALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,8,MALE,1
AGO,2020,Angola,Sub-Saharan Africa,Lower middle income,8,NA,0
ALB,2020,Albania,Europe & Central Asia,Upper middle income,Combined,BOTHSEX,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,Combined,FEMALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,Combined,MALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,Combined,NA,0.5
ALB,2020,Albania,Europe & Central Asia,Upper middle income,1,BOTHSEX,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,1,FEMALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,1,MALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,1,NA,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,16,BOTHSEX,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,16,FEMALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,16,MALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,3,BOTHSEX,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,3,FEMALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,3,MALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,4,BOTHSEX,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,4,FEMALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,4,MALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,5,FEMALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,5,MALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,8,BOTHSEX,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,8,FEMALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,8,MALE,1
ALB,2020,Albania,Europe & Central Asia,Upper middle income,8,NA,0
AND,2020,Andorra,Europe & Central Asia,High income,Combined,BOTHSEX,1
AND,2020,Andorra,Europe & Central Asia,High income,Combined,FEMALE,1
AND,2020,Andorra,Europe & Central Asia,High income,Combined,MALE,1
AND,2020,Andorra,Europe & Central Asia,High income,Combined,NA,0
AND,2020,Andorra,Europe & Central Asia,High income,1,NA,0
AND,2020,Andorra,Europe & Central Asia,High income,16,BOTHSEX,1
AND,2020,Andorra,Europe & Central Asia,High income,16,FEMALE,1
AND,2020,Andorra,Europe & Central Asia,High income,16,MALE,1
AND,2020,Andorra,Europe & Central Asia,High income,8,NA,0
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,Combined,BOTHSEX,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,Combined,FEMALE,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,Combined,MALE,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,Combined,NA,0
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,1,BOTHSEX,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,1,NA,0
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,16,BOTHSEX,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,16,FEMALE,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,16,MALE,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,4,BOTHSEX,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,4,FEMALE,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,4,MALE,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,5,BOTHSEX,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,5,FEMALE,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,5,MALE,1
ARE,2020,United Arab Emirates,Middle East & North Africa,High income,8,NA,0
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,Combined,BOTHSEX,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,Combined,FEMALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,Combined,MALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,Combined,NA,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,1,BOTHSEX,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,1,FEMALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,1,MALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,1,NA,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,16,BOTHSEX,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,16,FEMALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,16,MALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,3,BOTHSEX,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,3,FEMALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,3,MALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,4,BOTHSEX,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,4,FEMALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,4,MALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,5,FEMALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,5,MALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,8,BOTHSEX,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,8,FEMALE,1
ARG,2020,Argentina,Latin America & Caribbean,Upper middle income,8,MALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,Combined,BOTHSEX,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,Combined,FEMALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,Combined,MALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,Combined,NA,0.5
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,1,BOTHSEX,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,1,NA,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,16,BOTHSEX,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,16,FEMALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,16,MALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,3,BOTHSEX,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,3,FEMALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,3,MALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,4,BOTHSEX,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,4,FEMALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,4,MALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,5,BOTHSEX,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,5,FEMALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,5,MALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,8,BOTHSEX,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,8,FEMALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,8,MALE,1
ARM,2020,Armenia,Europe & Central Asia,Upper middle income,8,NA,0
ASM,2020,American Samoa,East Asia & Pacific,Upper middle income,Combined,NA,0
ASM,2020,American Samoa,East Asia & Pacific,Upper middle income,1,NA,0
ASM,2020,American Samoa,East Asia & Pacific,Upper middle income,8,NA,0
